Key,AR,Chinese Trad.,CZ,English(en),FR,DE,IN,HU,IT,JP,KR,MS,PL,PT,RO,RU,ES,TH,TR,VN
task_completed,المهام المكتملة,任务完成 ,Dokončené úkoly,Tasks Completed,Tâches accomplies,Aufgaben abgeschlossen,Tugas Selesai,Teljesített feladatok,Compiti Completati,タスク完了,작업 완료,Tugas Selesai,Zadania Zakończone,Tarefas Completas,Sarcini Finalizate,Завершенные задачи,Tareas Completadas,งานที่เสร็จสิ้น ,Tamamlanan Görevler,Công Việc Đã Hoàn Thành
daily,يومياً,每日,Denní,Daily,Quotidien,Täglich,Harian,Napi,Giornaliero,日常,매일,Harian,Dzienny,Diário,Zilnic,Ежедневно,Diario,รายวัน,Günlük,Hằng ngày
weekly,أسبوعيًا,每周,Týdenní,Weekly,Hebdomadaire,Wöchentlich,Mingguan,Heti,Settimanale,週次,주간,Mingguan,Tygodniowy,Semanal,Săptămânal,Еженедельно,Semanal,รายสัปดาห์,Haftalık,Hàng tuần
local,محلي,本地,Místní,Local,Local,Lokal,Lokal,Helyi,Locale,ローカル,로컬,Tempatan,Lokalny,Local,Local,Местный,Local,ท้องที่,Yerel,Địa phương
sound,صوت,聲音,Zvuk,Sound,Son,Klang,Suara,Hang,Suono,音,소리,Bunyi,Dźwięk,Som,Sunet,Звук,Sonido,เสียง,Ses,Âm thanh
monthly,شهريًا,月,Měsíčně,Monthly,Mensuel,Monatlich,Bulanan,Havonta,Mensile,月次,월간,Bulanan,Miesięcznie,"Mensal
",Lunar,Ежемесячно,Mensual,เดือนละ,Aylık,HÀNG THÁNG
privacy_settings,إعدادات الخصوصية, 隱私設置 ,Nastavení soukromí,Privacy Settings,Paramètres de confidentialité,Datenschutzeinstellungen,Pengaturan Privasi,Adatvédelmi beállítások, Impostazioni della privacy,プライバシー設定,개인정보 설정,Tetapan Privasi,Ustawienia prywatności,Configurações de Privacidade,Setări de Confidențialitate,Настройки конфиденциальности,Configuración de privacidad,การตั้งค่าความเป็นส่วนตัว,Gizlilik Ayarları,Cài đặt Quyền riêng tư
remove_ads,إزالة الإعلانات ,移除廣告,Odstranit Reklamy,Remove Ads,Supprimer les Publicités,Werbung Entfernen,Hapus Iklan,Hirdetések Eltávolítása,Rimuovi Pubblicità,広告を削除,광고 제거,Padam Iklan,Usuń Reklamy,Remover Anúncios,Eliminați Reclamele,Удалить Рекламу,Quitar Anuncios,ลบโฆษณา,Reklamları Kaldır,Xóa Quảng Cáo
home,منزل,家,Domov,Home,Maison,Zuhause,Rumah,Otthon,Casa,家,집,Rumah,Dom,Casa,Acasă,Дом,Hogar,บ้าน,Ev,Nhà
play,لعب,播放,HRÁT,PLAY,JOUER,SPIELEN,BERMAIN,JÁTSZIK,GIOCARE, 再生する,재생,MAIN,GRAĆ,JOGAR,JUCA,Играть,JUGAR,เล่น,OYNA,CHƠI
powerup_fivetiles_ingame_description,اضغط في أي مكان لإزالة أعلى 5 كرات.,點擊任何位置以移除前 5 個球。,Klepněte kdekoli pro odstranění horních 5 míčů.,Tap anywhere to remove the top 5 balls,Appuyez n'importe où pour supprimer les 5 balles du dessus.," Tippen Sie überall, um die obersten 5 Bälle zu entfernen.",Ketuk di mana saja untuk menghapus 5 bola teratas.,Koppintson bárhová a legfelső 5 labda eltávolításához.,Tocca ovunque per rimuovere le prime 5 palline.,上位5つのボールを削除するには、どこでもタップしてください。,어디서나 탭하여 상위 5개의 공을 제거하세요.,Ketuk di mana-mana untuk mengeluarkan 5 bola teratas.," Kliknij w dowolnym miejscu, aby usunąć górne 5 piłek.",Toque em qualquer lugar para remover as 5 bolas superiores.,Atingeți oriunde pentru a elimina primele 5 bile.,"Нажмите в любом месте, чтобы удалить верхние 5 шаров.",Toque en cualquier lugar para eliminar las 5 bolas superiores.,แตะที่ใดก็ได้เพื่อลบลูกบอล 5 ลูกบนสุด., En üstteki 5 topu kaldırmak için herhangi bir yere dokunun.,Nhấn vào bất kỳ nơi nào để loại bỏ 5 quả bóng trên cùng.
powerup_bomb_ingame_description,انقر في أي مكان للحصول على كرة قنبلة.,點擊任意處以獲得炸彈球。,Klepněte kdekoli pro získání bombového míčku.,Tap anywhere to get a bomb ball,Appuyez n'importe où pour obtenir une boule bombe.,"Tippen Sie überall, um eine Bombenkugel zu erhalten.",Ketuk di mana saja untuk mendapatkan bola bom.,"Koppints bárhová, hogy bombalabdát kapj.",Tocca ovunque per ottenere una palla bomba.,爆弾ボールを取得するには、どこでもタップしてください。,폭탄 공을 얻으려면 어디서나 탭하세요.,Ketuk di mana-mana untuk mendapatkan bola bom.,"Kliknij w dowolnym miejscu, aby otrzymać bombową piłkę.",Toque em qualquer lugar para obter uma bola bomba.,Atingeți oriunde pentru a obține o minge bombă.,"Нажмите в любом месте, чтобы получить бомбовый шар.",Toque en cualquier lugar para obtener una bola bomba.,แตะที่ใดก็ได้เพื่อรับลูกบอลระเบิด,Bir bomba topu için herhangi bir yere dokunun.,Nhấn vào bất kỳ nơi nào để nhận quả bóng bom.
powerup_shuffle_ingame_description,انقر في أي مكان لخلط الكرات.,點擊任意處以重新排列球。,Klepněte kdekoli pro zamíchání míčků.,Tap anywhere to shuffle the balls,Appuyez n'importe où pour mélanger les balles.,"Tippen Sie überall, um die Bälle zu mischen.",Ketuk di mana saja untuk mengocok bola-bola.,"Koppints bárhová, hogy összekeverje a labdákat.",Tocca ovunque per mescolare le palline.,ボールをシャッフルするには、どこでもタップしてください。,공을 섞으려면 어디서나 탭하세요.,Ketuk di mana-mana untuk mengacaukan bola-bola.,"Kliknij w dowolnym miejscu, aby wymieszać piłki.",Toque em qualquer lugar para embaralhar as bolas.,Atingeți oriunde pentru a amesteca mingile.,"Нажмите в любом месте, чтобы перетасовать шары.",Toque en cualquier lugar para mezclar las bolas.,แตะที่ใดก็ได้เพื่อสลับลูกบอล,Topları karıştırmak için herhangi bir yere dokunun.,Nhấn vào bất kỳ nơi nào để trộn các quả bóng.
powerup_rocket_ingame_description,انقر في أي مكان للحصول على كرة صاروخية.,點擊任意處以獲得火箭球。,Klepněte kdekoli pro získání raketového míčku.,Tap anywhere to get a rocket ball,Appuyez n'importe où pour obtenir une balle fusée.,"Tippen Sie überall, um eine Raketenkugel zu erhalten.",Ketuk di mana saja untuk mendapatkan bola roket.,"Koppints bárhová, hogy rakétalabdát kapj.",Tocca ovunque per ottenere una palla razzo.,ロケットボールを取得するには、どこでもタップしてください。,로켓 공을 얻으려면 어디서나 탭하세요.,Ketuk di mana-mana untuk mendapatkan bola roket.,"Kliknij w dowolnym miejscu, aby otrzymać rakietową piłkę.",Toque em qualquer lugar para obter uma bola foguete.,Atingeți oriunde pentru a obține o minge rachetă.,"Нажмите в любом месте, чтобы получить ракетный шар.",Toque en cualquier lugar para obtener una bola cohete.,แตะที่ใดก็ได้เพื่อรับลูกบอลจรวด,Roket topu almak için herhangi bir yere dokunun.,Nhấn vào bất kỳ nơi nào để nhận quả bóng tên lửa.
powerup_fivetiles_description,احذف أعلى 5 كرات على اللوحة.,移除棋盤上最高的5個球。,Odstraňte nejvyšších 5 míčů na desce.,Remove the highest 5 balls on the board, Retirez les 5 balles les plus hautes du tableau.,Entfernen Sie die obersten 5 Bälle auf dem Brett.,Hapus 5 bola tertinggi di papan.,Távolítsa el a legmagasabb 5 labdát a tábláról.,Rimuovi le 5 palline più alte sulla tavola.,ボード上の最高の5つのボールを削除します。, 보드에서 가장 높은 5개의 공을 제거하세요.,Keluarkan 5 bola tertinggi di papan.,Usuń najwyższe 5 piłek na planszy.,Remova as 5 bolas mais altas no tabuleiro.,Eliminați cele mai mari 5 bile de pe tablă.,Удалите пять самых высоких шаров на доске.,Eliminar las 5 bolas más altas del tablero.,ลบลูกบอล 5 ลูกที่สูงที่สุดบนกระดาน.,Tahtadaki en yüksek 5 topu kaldırın.,Loại bỏ 5 quả bóng cao nhất trên bảng.
powerup_bomb_description,تدمير الكرات المجاورة للقنبلة.,摧毀炸彈旁的球,Zničte míčky sousedící s bombou.,Destroy balls neighboring the bomb,Détruire les balles voisines de la bombe.,Zerstöre die Bälle neben der Bombe.,Hancurkan bola-bola yang berdekatan dengan bom.,Rombold le a bombával szomszédos labdákat.,Distruggi le palline vicine alla bomba.,爆弾の隣にあるボールを破壊します, 폭탄 옆에 있는 공을 파괴합니다.,Musnahkan bola-bola yang bersebelahan dengan bom.,Zniszcz piłki sąsiadujące z bombą.,Destrua as bolas vizinhas à bomba.,Distrugeți bilele vecine bombei.,"Уничтожьте шары, соседствующие с бомбой.",Destruir las bolas vecinas a la bomba.,ทำลายลูกบอลที่อยู่ใกล้เคียงกับระเบิด.,Bombanın yanındaki topları yok edin.,Phá hủy các quả bóng kế cận với quả bom.
powerup_shuffle_description,اخلط جميع الكرات على اللوحة.,洗牌棋盤上的所有球。,Zamíchejte všechny míčky na desce.,Shuffle all the balls on the board,Mélanger toutes les balles sur le tableau.,Mische alle Bälle auf dem Brett.,Acak semua bola di papan.,Keverd össze az összes labdát a táblán.,Mescola tutte le palline sulla tavola.,ボード上のすべてのボールをシャッフルします。,보드의 모든 공을 섞어주세요.,Kacau semua bola di papan.,Wymieszaj wszystkie piłki na planszy.,Embaralhe todas as bolas no tabuleiro.,Amestecați toate bilele de pe tablă.,Перемешайте все шары на доске.,Mezclar todas las bolas en el tablero.,สลับลูกบอลทั้งหมดบนกระดาน.,Tahtadaki tüm topları karıştırın.,Trộn tất cả các quả bóng trên bảng.
powerup_rocket_description,احذف الكرات في مسار الصاروخ.,摧毀火箭路徑上的球。,Zničte míčky na trase rakety.,Destroy balls in the path of the rocket,Détruire les balles sur la trajectoire de la fusée.,Zerstöre die Bälle auf dem Pfad der Rakete.,Hancurkan bola-bola di jalur roket., Rombold le a labdákat a rakéta útvonalán.,Distruggi le palline nel percorso del razzo.,ロケットの進路上のボールを破壊します。, 로켓 경로상의 공을 파괴합니다.,Musnahkan bola-bola dalam laluan roket.,Zniszcz piłki na ścieżce rakiety.,Destrua as bolas no caminho do foguete.,Distrugți bilele în calea rachetei.,Уничтожьте шары на пути ракеты.,Destruir las bolas en el camino del cohete.,ทำลายลูกบอลในเส้นทางของจรวด.,Roketin yolundaki topları yok edin.,Phá hủy các quả bóng trong đường đi của tên lửa.
tutorial_info_text,اسحب وأسقط لضرب الكرات بنفس الرقم.,拖放以擊中相同數字的球。,"Přetáhněte a upusťte, abyste trefili stejné číslo míčků.",Drag and drop to hit the same number balls.,Faites glisser et déposez pour frapper les balles du même numéro.,"Ziehen und ablegen, um die Bälle mit derselben Nummer zu treffen.",Seret dan lepaskan untuk mengenai bola dengan angka yang sama.,"Húzz és ejtsd le, hogy ugyanolyan számú labdát ütj.",Trascina e rilascia per colpire le palle dello stesso numero.,同じ数字のボールを打つためにドラッグしてドロップします。,같은 숫자의 공을 맞히기 위해 드래그하여 놓으세요.,Tarik dan lepaskan untuk memukul bola yang sama.,"Przeciągnij i upuść, aby trafić w te same liczbowo piłki.",Arraste e solte para acertar as bolas com o mesmo número.,Trage și lasă pentru a lovi mingile cu același număr.,"Перетащите и отпустите, чтобы попасть в шары с тем же числом.",Arrastra y suelta para golpear las bolas del mismo número.,ลากระบายเพื่อตีลูกบอลที่มีตัวเลขเดียวกัน,Aynı numaralı topları vurmak için sürükleyip bırakın.,Kéo và thả để đánh vào những quả bóng cùng số.
quit_game,انسحاب من اللعبة,退出遊戲,UKONČIT HRU,QUIT GAME,QUITTER LE JEU,SPIEL BEENDEN,KELUAR DARI PERMAINAN,JÁTÉK BEFEJEZÉSE,ESCI DAL GIOCO,ゲームを終了,게임 종료,BERHENTI PERMAINAN,ZAKOŃCZ GRĘ,SAIR DO JOGO,IEȘIRE DIN JOC,ВЫХОД ИЗ ИГРЫ,SALIR DEL JUEGO,ออกจากเกม,OYUNDAN ÇIK,THOÁT TRÒ CHƠI
statistics,الإحصائيات,統計,Statistiky,Statistics,Statistiques,Statistiken,Statistik,Statisztika,Statistiche,統計,통계,Statistik,Statystyki,Estatísticas,Statistici,Статистика,Estadísticas,สถิติ,İstatistikler,Thống kê
come_back_tomorrow,عد غدا!,明天再來！,Přijďte zítra zpátky!,Come back tomorrow!,Revenez demain !,Komm morgen zurück!,Kembali besok!,Gyere vissza holnap!,Torna domani!,明日また来てください！,내일 다시 오세요!,Kembali esok!,Wróć jutro!,Volte amanhã!,Reveniți mâine!,Возвращайтесь завтра!,¡Vuelve mañana!,กลับมาใหม่พรุ่งนี้!,Yarın gel!,Quay lại vào ngày mai!
popup_notification_title, احصل على الأشياء الجيدة!,獲取好東西！,Získejte ty dobré věci!,GET THE GOOD STUFF!,OBTENEZ LES BONNES CHOSES !,Hol dir die guten Sachen!,DAPATKAN BARANG BAGUS!,SZEREZZ JÓSÁGOT!,PRENDI LE COSE BUONE!,良いものを手に入れよう！,좋은 물건을 얻어보세요!, DAPATKAN BARANG BAIK!,ZDOBYWAJ DOBRE RZECZY!,PEGUE AS COISAS BOAS!, IA LUCRURILE BUNE!,ПОЛУЧИТЕ ХОРОШИЕ ВЕЩИ!,¡OBTÉN LAS COSAS BUENAS!,ได้สิ่งดีๆ!,İYİ ŞEYLERİ ALIN!,LẤY CÁI TỐT ĐẸP!
popup_notification_desc,نودّ أن نرسل لك معلومات حول العناصر المجانية والتحديثات الهامة,我們想向您發送有關免費物品和重要更新的資訊,Rádi bychom vám poslali informace o bezplatných položkách a důležitých aktualizacích,We'd like to send you info about free items and important updates,Nous aimerions vous envoyer des informations sur les articles gratuits et les mises à jour importantes,Wir möchten Ihnen Informationen über kostenlose Artikel und wichtige Updates senden,Kami ingin mengirimkan informasi tentang barang gratis dan pembaruan penting kepada Anda,Szeretnénk információkat küldeni Önnek ingyenes tételekről és fontos frissítésekről,Vorremmo inviarti informazioni su articoli gratuiti e aggiornamenti importanti,無料アイテムと重要な更新に関する情報をお送りしたいと思います,무료 품목과 중요한 업데이트에 관한 정보를 보내 드리고 싶습니다,Kami ingin menghantar maklumat tentang item percuma dan kemas kini penting kepada anda,Chcielibyśmy przesłać Ci informacje o darmowych przedmiotach i ważnych aktualizacjach,Gostaríamos de enviar informações sobre itens gratuitos e atualizações importantes para você,Ne-ar plăcea să vă trimitem informații despre articole gratuite și actualizări importante,Мы хотели бы отправить вам информацию о бесплатных предметах и важных обновлениях,Nos gustaría enviarle información sobre artículos gratuitos y actualizaciones importantes,เราต้องการส่งข้อมูลเกี่ยวกับรายการฟรีและการอัปเดตที่สำคัญให้คุณ,Size bedava ürünler ve önemli güncellemeler hakkında bilgi göndermek isteriz,Chúng tôi muốn gửi thông tin về các mặt hàng miễn phí và các cập nhật quan trọng cho bạn
yes_please,نعم، من فضلك,是的，請,"Ano, prosím","Yes, please","Oui, s'il vous plaît","Ja, bitte","Ya, silakan","Igen, kérem","Sì, per favore",はい、お願いします,"네, 부탁합니다","Ya, sila","Tak, proszę","Sim, por favor","Da, te rog","Да, пожалуйста","Sí, por favor",ใช่ โปรด,"Evet, lütfen","Vâng, xin vui lòng"
next_ball_display,عرض الكرة التالية,下一顆球顯示,ZOBRAZENÍ DALŠÍ KOULE,NEXT BALL DISPLAY,AFFICHAGE DE LA PROCHAINE BALLE,ANZEIGE DER NÄCHSTEN KUGEL,TAMPILAN BOLA SELANJUTNYA,KÖVETKEZŐ LABDA MEGJELENÍTÉSE,VISUALIZZAZIONE DELLA PROSSIMA PALLA,次のボールの表示,다음 공 표시,PAPARAN BOLA SETERUSNYA,WYŚWIETLANIE NASTĘPNEJ PIŁKI,EXIBIÇÃO DA PRÓXIMA BOLA,AFIȘAREA URMĂTOAREI BILE,ОТОБРАЖЕНИЕ СЛЕДУЮЩЕГО ШАРА,VISUALIZACIÓN DE LA PRÓXIMA BOLA,การแสดงผลลูกบอลถัดไป,SONRAKİ TOP GÖSTERİMİ,HIỂN THỊ QUẢ BÓNG TIẾP THEO
next_ball_desc,اعرض الكرة التالية لمدة 5 دقائق, 顯示下一個球 5 分鐘, Zobrazit další míč na 5 minut, Show the next ball for 5 minutes, Affiche la prochaine balle pendant 5 minutes, Zeige den nächsten Ball für 5 Minuten, Tampilkan bola berikutnya selama 5 menit, Mutasd a következő labdát 5 percig, Mostra la prossima palla per 5 minuti, 次のボールを5分間表示します, 다음 공을 5분 동안 표시하세요, Tunjukkan bola seterusnya selama 5 minit, Pokaż następną piłkę na 5 minut, Mostre a próxima bola por 5 minutos, Afișează următoarea minge timp de 5 minute, Покажите следующий шар на 5 минут, Muestra la siguiente bola durante 5 minutos, แสดงลูกบอลถัดไปเป็นเวลา 5 นาที, Sıradaki topu 5 dakika boyunca göster, Hiển thị quả bóng tiếp theo trong 5 phút.
buy_one_get_one_free,اشترِ واحد واحصل على واحد مجاناً,買一送一, KUP 1 ZÍSKAT 1 ZDARMA,BUY 1 GET 1 FREE,ACHETEZ 1 OBTENEZ-EN 1 GRATUIT,"KAUFEN SIE 1, ERHALTEN SIE 1 GRATIS",BELI 1 DAPATKAN 1 GRATIS,"VÁSÁROLJ 1ET, KAPJ 1ET INGYEN",COMPRA 1 OTTIENI 1 GRATIS,1つ購入で1つ無料,1개 구매시 1개 무료,BELI 1 DAPAT 1 PERCUMA,"KUP 1, ODBIERZ 1 GRATIS",COMPRE 1 LEVE 1 GRÁTIS,"CUMPĂRĂ 1, PRIMEȘTI 1 GRATUIT","КУПИ 1, ПОЛУЧИ 1 БЕСПЛАТНО",COMPRA 1 Y LLÉVATE 1 GRATIS,ซื้อ 1 แถม 1 ฟรี,1 ALANA 1 BEDAVA,MUA 1 TẶNG 1
use,استخدم,使用,Použít,Use,Utiliser,Verwenden,Gunakan,Használ,Utilizzare,使用する,사용,Guna,Użyj,Usar,Utilizați,Использовать,Usar,ใช้,Kullan,Sử dụng
no_ads,بدون إعلانات, 無廣告,Bez Reklam,No Ads,Pas de publicités,Keine Werbung,Tanpa iklan,Nincsenek hirdetések,Senza pubblicità,広告なし,광고 없음,Tiada iklan,Bez Reklam,Sem Anúncios,Fără reclame,Без рекламы,Sin anuncios,ไม่มีโฆษณา,Reklamsız,Không có quảng cáo
daily_task_description_Watch_Rewarded,شاهد {0} فيديو,觀看 {0} 影片,Sledujte {0} videí,Watch {0} videos,Regardez {0} vidéos,{0} Videos ansehen,Tonton {0} video,Nézze meg a(z) {0} videót,Guarda {0} video,{0}本の動画を見る,월간,Tonton {0} video,Obejrzyj {0} filmów,Assista a {0} vídeos,Vizionați {0} videoclipuri,Посмотрите {0} видео,Ver {0} videos,ดูวิดีโอ {0} วิดีโอ,{0} video izle,Xem {0} video
daily_task_description_Unlock_Tile,إنشاء كتلة {0},創建區塊 {0},Vytvořit blok {0},Create block {0},Créer le bloc {0},Block erstellen {0},Buat blok {0},Blokk létrehozása {0},Crea blocco {0},ブロックを作成する {0},{0}개의 동영상 시청,Cipta blok {0},Utwórz blok {0},Criar bloco {0},Creează bloc {0},Создать блок {0},Crear bloque {0},สร้างบล็อก {0},Bloğu oluştur {0},Tạo khối {0}
daily_task_description_Use_Booster,استخدم {0} {1} مرة,使用 {0} {1} 次,Použijte {0} {1}-krát,Use {0} {1} times,Utiliser {0} {1} fois,Verwende {0} {1}-mal,Gunakan {0} {1} kali,{0}-szor használja {1}-t,Usa {0} {1} volte,{0}を{1}回使用する,{0}을(를) {1}번 사용,Guna {0} {1} kali,Użyj {0} {1} razy,Usar {0} {1} vezes,Folosește {0} de {1} ori,Использовать {0} {1} раз,Usar {0} {1} veces,ใช้ {0} {1} ครั้ง,{0} {1} kez kullan,Sử dụng {0} {1} lần
daily_task_description_Earn_Gems,اكسب {0} جواهر,賺取 {0} 寶石,Vydělejte {0} drahokamů,Earn {0} gems,Gagner {0} gemmes,{0} Edelsteine verdienen,Dapatkan {0} permata,{0} gyémántot szerezz meg,Guadagna {0} gemme,{0}ジェムを獲得,{0} 보석 획득,Dapatkan {0} intan,Zarób {0} klejnotów,Ganhar {0} gemas,Câștigă {0} giuvaere,Заработайте {0} самоцветов,Ganar {0} gemas,รับ {0} แหวนพลอย,{0} elmas kazan,Kiếm {0} viên ngọc
daily_task_description_Achieve_All_Tasks,أكمل جميع المهام,完成所有任務,Dokončit všechny úkoly,Complete all tasks,Compléter toutes les tâches,Alle Aufgaben abschließen,Selesaikan semua tugas,Minden feladatot befejez,Completa tutte le attività,すべてのタスクを完了,모든 작업 완료,Selesaikan semua tugas,Zakończ wszystkie zadania,Concluir todas as tarefas,Finalizează toate sarcinile,Завершите все задачи,Completar todas las tareas,ทำงานทั้งหมดเสร็จสิ้น,Tüm görevleri tamamla,Hoàn thành tất cả các nhiệm vụ
daily_tasks,المهام اليومية,每日任务,Denní Úkoly,Daily Tasks,Tâches Quotidiennes,Tägliche Aufgaben,Tugas Harian,Napi Feladatok,Compiti Giornalieri,日課タスク,일일 작업,Tugas Harian,Codzienne Zadania,Tarefas Diárias,Sarcini Zilnice,Ежедневные Задачи,Tareas Diarias,งานประจำวัน,Günlük Görevler,Nhiệm Vụ Hàng Ngày
hammer,مطرقة,锤子,Kladivo,Hammer,Marteau,Hammer,Palu,Kalapács,Martello,ハンマー,망치,Palu,Młotek,Martelo,Ciocan,Молоток,Martillo,ค้อน,Çekiç,Búa
tileswap,تبديل البلاطات,地板拼圖,Výměna dlaždic,Tile Swap,Échange de Tuiles,Fliesenwechsel,Pertukaran Tile,Csempék Cseréje,Scambio di Piastrelle,タイルの交換,타일 교환,Pertukaran Jubin,Zamiana Kafelków,Troca de Peças,Schimbare de Piese,Обмен Плитками,Intercambio de Fichas,การเปลี่ยนกระเบื้อง,Taş Değiştirme,Đổi Gạch
rocket,صاروخ,火箭,Raketový,Rocket,Fusée,Rakete,Rakéta,Roket,Razzo,ロケット,로켓,Roket,Rakieta,Foguete,Foguete,Ракета,Cohete,จรวด,Roket,Tên lửa
shuffle,خلط,洗牌,Zamíchat,Shuffle,Mélanger,Mischen,Keverés,Acak,Mescolare,シャッフルする,섞다,Kocak,Tasować,Embaralhar,Amesteca,Перемешать,Mezclar,การสลับ,Karıştır,Trộn
bomb,قنبلة,炸彈,Bomba,Bomb,Bombe,Bombe,Bomba,Bom,Bomba,爆弾,폭탄,Bom,Bomba,Bomba,Bombă,Бомба,Bomba,ระเบิด,Bomba,Bom
destroyfivetiles,تدمير خمس قطع,摧毀五個方塊,Zničte pět dlaždic,Destroy five tiles,Détruire cinq tuiles,Zerstöre fünf Fliesen,Öt csempe megsemmisítése,Hancurkan Lima Ubin,Distruggi cinque piastrelle,タイルを5つ破壊する,타일 다섯 개 파괴,Musnahkan Lima Batu Bata,Zniszcz pięć płytek,Destruir cinco azulejos,Distruge cinci plăci,Уничтожь пять плиток,Destruir cinco baldosas,Уничтожь пять плиток,Beş topu yok et,Phá hủy Năm Miếng Gạch
wouldyouliketowatchvideo, هل ترغب في مشاهدة فيديو؟,你想看影片嗎？,Chcete si prohlédnout video?,Would you like to watch a video?,Voulez-vous regarder une vidéo?,Möchten Sie ein Video ansehen?,Apakah Anda ingin menonton video?,Szeretne videót nézni?,Vuoi guardare un video?,ビデオを見ますか？,비디오를 보시겠습니까?,Mahukah anda menonton video?,Czy chcesz obejrzeć film?,Gostaria de assistir a um vídeo?,Doriți să vizionați un videoclip?,Хотите посмотреть видео?,¿Te gustaría ver un video?,คุณต้องการดูวิดีโอไหม?,Video izlemek ister misiniz?,Bạn có muốn xem video không?

